"Kod";"Nazwa";"ogółem;2002;[osoba]";"ogółem;2003;[osoba]";"ogółem;2004;[osoba]";"ogółem;2005;[osoba]";"ogółem;2006;[osoba]";"ogółem;2007;[osoba]";"ogółem;2008;[osoba]";"ogółem;2009;[osoba]";"ogółem;2010;[osoba]";"ogółem;2011;[osoba]";"ogółem;2012;[osoba]";"ogółem;2013;[osoba]";"ogółem;2014;[osoba]";"ogółem;2015;[osoba]";"ogółem;2016;[osoba]";"ogółem;2017;[osoba]";"ogółem;2018;[osoba]";"ogółem;2019;[osoba]";"ogółem;2020;[osoba]";"ogółem;2021;[osoba]";"ogółem;2022;[osoba]";"ogółem;2023;[osoba]";"ogółem;2024;[osoba]"
0200000;"DOLNOŚLĄSKIE";523;554;575;586;587;597;601;600;577;549;532;487;470;457;449;428;415;405;403;402;398;402;436
0400000;"KUJAWSKO-POMORSKIE";383;403;419;430;419;414;407;411;403;390;366;332;312;297;285;285;272;261;267;268;279;283;286
0600000;"LUBELSKIE";437;461;488;496;490;491;489;488;466;443;430;398;382;366;350;341;330;325;334;330;327;325;337
0800000;"LUBUSKIE";375;390;407;393;361;340;295;279;258;233;208;186;176;162;147;139;131;125;126;125;121;119;127
1000000;"ŁÓDZKIE";468;479;495;509;524;544;559;530;452;427;403;367;349;330;319;313;287;283;291;297;291;296;293
1200000;"MAŁOPOLSKIE";513;545;585;611;621;631;642;643;635;622;605;564;545;524;500;465;442;426;427;429;431;443;457
1400000;"MAZOWIECKIE";670;675;677;680;676;671;662;639;614;581;589;554;530;515;503;481;457;452;453;462;481;514;516
1600000;"OPOLSKIE";333;348;364;357;353;367;380;397;392;375;343;308;278;253;230;222;216;216;223;222;229;223;233
1800000;"PODKARPACKIE";355;369;375;374;362;352;360;356;345;333;317;295;279;264;247;233;220;216;219;218;214;214;221
2000000;"PODLASKIE";423;420;438;438;444;442;444;456;441;424;391;352;322;300;288;266;252;245;245;251;250;251;262
2200000;"POMORSKIE";399;417;445;455;464;466;472;474;471;459;465;444;426;414;401;371;358;354;366;369;379;387;403
2400000;"ŚLĄSKIE";425;425;440;443;435;425;414;403;391;368;344;314;294;277;264;260;253;250;259;264;267;268;282
2600000;"ŚWIĘTOKRZYSKIE";437;441;451;449;430;401;390;376;357;331;302;266;239;214;198;203;183;163;163;166;163;156;166
2800000;"WARMIŃSKO-MAZURSKIE";388;412;429;430;422;411;382;367;344;321;307;272;246;229;211;202;190;182;177;173;166;165;173
3000000;"WIELKOPOLSKIE";436;455;479;506;511;521;512;497;476;462;442;413;391;382;365;351;331;328;337;330;326;320;324
3200000;"ZACHODNIOPOMORSKIE";543;519;532;508;490;467;462;450;416;392;363;336;308;283;265;246;232;222;225;220;214;220;229
