"Kod";"Nazwa";"absolwenci na 10 tys. ludności;2003;[osoba]";"absolwenci na 10 tys. ludności;2004;[osoba]";"absolwenci na 10 tys. ludności;2005;[osoba]";"absolwenci na 10 tys. ludności;2006;[osoba]";"absolwenci na 10 tys. ludności;2007;[osoba]";"absolwenci na 10 tys. ludności;2008;[osoba]";"absolwenci na 10 tys. ludności;2009;[osoba]";"absolwenci na 10 tys. ludności;2010;[osoba]";"absolwenci na 10 tys. ludności;2011;[osoba]";"absolwenci na 10 tys. ludności;2012;[osoba]";"absolwenci na 10 tys. ludności;2013;[osoba]";"absolwenci na 10 tys. ludności;2014;[osoba]";"absolwenci na 10 tys. ludności;2015;[osoba]";"absolwenci na 10 tys. ludności;2016;[osoba]";"absolwenci na 10 tys. ludności;2017;[osoba]";"absolwenci na 10 tys. ludności;2018;[osoba]";"absolwenci na 10 tys. ludności;2019;[osoba]";"absolwenci na 10 tys. ludności;2020;[osoba]";"absolwenci na 10 tys. ludności;2021;[osoba]";"absolwenci na 10 tys. ludności;2022;[osoba]";"absolwenci na 10 tys. ludności;2023;[osoba]";"absolwenci na 10 tys. ludności;2024;[osoba]"
0200000;"DOLNOŚLĄSKIE";99;113;113;115;113;123;129;139;147;142;137;126;120;115;120;104;108;99;103;100;101;98
0400000;"KUJAWSKO-POMORSKIE";86;88;92;94;95;96;102;104;110;111;103;95;84;78;82;69;67;61;63;60;64;62
0600000;"LUBELSKIE";90;98;104;107;107;108;121;136;139;131;127;114;106;97;100;89;87;83;86;87;85;86
0800000;"LUBUSKIE";79;87;86;90;92;75;76;73;67;65;59;51;47;42;39;31;31;31;29;29;30;28
1000000;"ŁÓDZKIE";87;99;93;103;112;114;124;131;120;115;103;96;88;77;85;75;70;63;67;66;68;68
1200000;"MAŁOPOLSKIE";85;90;101;105;114;117;126;145;164;167;161;156;149;144;158;128;120;107;110;108;107;107
1400000;"MAZOWIECKIE";138;137;133;130;137;138;143;153;157;160;149;145;131;124;131;113;107;101;105;101;102;107
1600000;"OPOLSKIE";74;73;81;79;72;72;96;108;113;117;108;97;85;74;78;61;58;54;57;59;54;54
1800000;"PODKARPACKIE";73;85;87;90;92;91;93;98;102;95;96;91;89;85;78;70;66;64;63;64;60;58
2000000;"PODLASKIE";92;90;86;90;97;114;100;124;127;122;117;101;91;79;84;75;71;68;64;61;65;63
2200000;"POMORSKIE";83;84;88;91;94;104;105;105;120;128;122;114;106;101;113;93;91;86;86;85;89;88
2400000;"ŚLĄSKIE";88;92;96;92;96;96;94;105;111;105;97;91;85;74;84;68;66;63;64;66;67;69
2600000;"ŚWIĘTOKRZYSKIE";116;115;124;110;112;99;98;100;111;110;103;81;78;64;69;57;55;46;45;42;46;42
2800000;"WARMIŃSKO-MAZURSKIE";76;83;86;87;96;110;108;99;100;104;86;79;71;64;67;58;54;54;51;48;45;45
3000000;"WIELKOPOLSKIE";88;97;97;102;110;116;126;135;134;128;121;114;110;98;105;88;81;80;80;80;78;78
3200000;"ZACHODNIOPOMORSKIE";110;103;104;99;100;100;102;115;109;101;91;85;77;70;70;56;52;49;50;49;46;46
