"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";"ogółem;2024;[zł]";"ogółem;2025;[zł]";
0200000;"DOLNOŚLĄSKIE";2165,84;2233,58;2356,89;2477,56;2617,16;2860,66;3135,83;3295,44;3412,37;3587,25;3709,32;3868,86;4042,86;4204,24;4385,84;4654,51;4942,39;5323,55;5693,69;6242,88;6945,01;7850,30;8867,46;;
0400000;"KUJAWSKO-POMORSKIE";1953,39;2000,96;2087,30;2153,46;2268,87;2443,17;2691,69;2810,97;2910,82;3062,32;3182,31;3322,09;3439,06;3540,25;3672,98;3886,20;4139,21;4494,37;4831,73;5286,83;5888,55;6721,48;7710,78;;
0600000;"LUBELSKIE";1941,01;1995,50;2096,15;2180,18;2290,60;2486,22;2771,99;2891,30;3099,60;3257,14;3382,66;3488,61;3605,03;3699,48;3815,95;4020,25;4260,71;4564,85;4914,95;5318,68;5909,60;6774,52;7771,05;;
0800000;"LUBUSKIE";1936,54;1990,13;2067,56;2144,35;2235,01;2429,97;2653,55;2802,77;2920,43;3073,95;3203,18;3282,07;3425,38;3567,60;3734,90;3950,95;4239,92;4559,96;4832,07;5286,50;6014,38;6882,46;7887,19;;
1000000;"ŁÓDZKIE";1966,22;2024,32;2123,36;2188,15;2287,90;2470,86;2740,58;2884,60;3066,02;3245,97;3383,30;3510,20;3618,63;3790,76;3925,10;4141,94;4441,29;4790,10;5148,38;5622,29;6210,68;7052,93;8096,32;;
1200000;"MAŁOPOLSKIE";2060,99;2109,69;2216,21;2303,42;2443,91;2666,24;2903,63;3057,71;3169,90;3332,98;3456,16;3574,22;3700,06;3906,96;4077,91;4347,10;4678,95;5098,26;5536,07;6046,95;6824,68;7736,56;8818,71;;
1400000;"MAZOWIECKIE";2893,83;3005,37;3095,96;3227,04;3381,13;3670,84;4036,26;4179,63;4279,55;4504,66;4637,58;4773,41;4927,34;5098,55;5240,86;5523,65;5888,90;6248,47;6581,81;7108,20;7913,14;8928,60;10018,71;;
1600000;"OPOLSKIE";2029,99;2087,30;2183,74;2249,89;2367,74;2607,45;2873,22;2987,87;3137,29;3249,58;3358,42;3473,40;3632,84;3793,28;3927,04;4144,91;4379,25;4712,47;5078,51;5492,82;6134,18;6975,81;7958,35;;
1800000;"PODKARPACKIE";1875,41;1950,01;2018,59;2081,76;2179,57;2372,82;2614,12;2740,89;2877,43;3023,21;3152,36;3282,69;3412,30;3527,62;3653,67;3837,17;4089,81;4388,16;4707,81;5172,11;5662,53;6436,15;7514,69;;
2000000;"PODLASKIE";1958,00;2035,43;2107,50;2192,77;2307,59;2524,95;2781,21;2884,68;3019,83;3178,15;3310,71;3432,71;3530,17;3647,08;3767,20;4005,94;4264,04;4575,88;4929,64;5412,89;6012,94;6805,04;7850,16;;
2200000;"POMORSKIE";2175,63;2257,16;2374,71;2511,25;2650,20;2882,56;3167,70;3320,06;3383,58;3567,49;3696,89;3847,12;4011,59;4132,13;4274,73;4496,64;4794,74;5142,01;5484,46;5994,33;6696,84;7550,99;8620,28;;
2400000;"ŚLĄSKIE";2298,44;2380,23;2488,62;2587,07;2729,63;2933,32;3239,09;3405,18;3528,19;3794,62;3855,26;4022,80;4100,51;4221,45;4295,29;4481,57;4825,28;5177,86;5450,86;5907,84;6727,57;7611,38;8537,54;;
2600000;"ŚWIĘTOKRZYSKIE";1977,75;2024,41;2117,74;2173,15;2263,60;2467,07;2745,39;2868,09;2971,58;3137,91;3250,94;3349,81;3435,93;3580,62;3669,57;3911,49;4171,17;4490,41;4800,21;5262,19;5782,60;6585,16;7664,18;;
2800000;"WARMIŃSKO-MAZURSKIE";1947,99;2003,28;2050,21;2103,99;2218,32;2398,00;2615,33;2752,41;2879,97;3019,37;3150,27;3264,63;3386,96;3495,02;3619,16;3802,98;4028,33;4319,51;4709,12;5126,75;5674,89;6447,09;7529,41;;
3000000;"WIELKOPOLSKIE";2047,58;2129,03;2204,31;2263,60;2389,00;2610,82;2868,81;2976,28;3126,36;3284,41;3397,25;3515,31;3597,69;3723,69;3894,10;4124,13;4382,96;4687,39;4985,75;5379,43;6019,68;6772,06;7759,22;;
3200000;"ZACHODNIOPOMORSKIE";2068,44;2134,74;2221,63;2307,99;2406,98;2615,83;2881,00;3021,51;3120,15;3289,56;3417,76;3539,12;3649,27;3793,68;3946,28;4154,25;4431,95;4769,71;5099,49;5549,85;6169,94;7007,40;8027,37;;
